,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Court_Indoor,Court_Outdoor,Surface_Clay,Surface_Grass,Surface_Hard,Round_1st Round,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,player1_round1,player2_round1,player1_round2,player2_round2,player1_round3,player2_round3,player1_round4,player2_round4,player1_round5,player2_round5
50,3,Bautista,Berdych,Bautista,80,6,648,4680,10.0,1.06,False,True,False,False,True,False,False,False,False,True,False,False,False,7,5,2,6,6,3,0,0,0,0
51,3,Bedene,Tipsarevic,Tipsarevic,86,9,583,2990,6.0,1.12,False,True,False,False,True,False,False,False,False,False,False,True,False,6,4,2,6,2,6,0,0,0,0
52,3,Bautista,Paire,Bautista,80,47,648,867,2.25,1.57,False,True,False,False,True,False,False,False,False,False,False,True,False,3,6,6,1,6,4,0,0,0,0
53,3,Bautista,Tipsarevic,Tipsarevic,80,9,648,2990,5.0,1.16,False,True,False,False,True,False,False,False,False,False,False,False,True,6,3,1,6,3,6,0,0,0,0
54,3,Bolelli,Gimeno-Traver,Bolelli,84,70,623,704,1.5,2.5,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,7,7,6,0,0,0,0
55,3,Ramos,Lorenzi,Lorenzi,50,64,830,744,1.44,2.62,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,1,6,0,0,0,0,0,0
56,3,Davydenko,Hanescu,Davydenko,44,62,885,753,1.33,3.25,False,True,False,False,True,True,False,False,False,False,False,False,False,6,2,6,3,0,0,0,0,0,0
57,3,Fognini,Zemlja,Zemlja,45,55,880,782,2.25,1.57,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,6,3,4,6,0,0,0,0
58,3,Troicki,Phau,Troicki,38,75,1055,668,1.36,3.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,3,6,6,4,0,0,0,0
59,3,Dodig,Kohlschreiber,Kohlschreiber,72,20,695,1770,2.62,1.44,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,1,6,0,0,0,0,0,0
60,3,Lacko,Garcia-Lopez,Lacko,51,76,827,667,1.57,2.25,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,2,6,6,4,0,0,0,0
61,3,Andujar,Rosol,Rosol,42,73,915,679,3.0,1.36,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,6,7,0,0,0,0,0,0
62,3,Youzhny,Becker,Youzhny,25,65,1335,741,1.22,4.0,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,7,6,6,1,0,0,0,0
63,3,Chardy,Brands,Brands,32,153,1131,367,1.5,2.5,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,4,6,0,0,0,0,0,0
64,3,Gasquet,Hernych,Gasquet,10,193,2515,245,1.12,6.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,4,0,0,0,0,0,0
65,3,Zayed,Monfils,Monfils,1855,77,1,660,19.0,1.02,False,True,False,False,True,True,False,False,False,False,False,False,False,0,6,3,6,0,0,0,0,0,0
66,3,Kamke,Ramirez-Hidalgo,Kamke,98,50,563,830,1.12,6.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,6,2,0,0,0,0,0,0
67,3,Brown,Ferrer,Ferrer,167,5,322,6505,15.0,1.03,False,True,False,False,True,True,False,False,False,False,False,False,False,7,5,3,6,2,6,0,0,0,0
68,3,Kubot,Lopez,Kubot,74,40,675,1005,2.62,1.44,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,6,2,0,0,0,0,0,0
69,3,Safwat,Brands,Brands,455,153,78,367,6.5,1.11,False,True,False,False,True,False,True,False,False,False,False,False,False,6,4,3,6,2,6,0,0,0,0
70,3,Lorenzi,Rosol,Lorenzi,64,73,744,679,3.25,1.33,False,True,False,False,True,False,True,False,False,False,False,False,False,6,0,6,4,0,0,0,0,0,0
71,3,Youzhny,Davydenko,Davydenko,25,44,1335,885,2.1,1.66,False,True,False,False,True,False,True,False,False,False,False,False,False,5,7,3,6,0,0,0,0,0,0
72,3,Bolelli,Kubot,Bolelli,84,74,623,675,2.62,1.44,False,True,False,False,True,False,True,False,False,False,False,False,False,2,6,6,4,6,4,0,0,0,0
73,3,Kohlschreiber,Monfils,Monfils,20,77,1770,660,1.53,2.37,False,True,False,False,True,False,True,False,False,False,False,False,False,4,6,6,2,4,6,0,0,0,0
74,3,Lacko,Troicki,Lacko,51,38,827,1055,2.2,1.61,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,7,5,0,0,0,0,0,0
75,3,Zemlja,Gasquet,Gasquet,55,10,782,2515,5.0,1.16,False,True,False,False,True,False,True,False,False,False,False,False,False,7,6,4,6,6,7,0,0,0,0
76,3,Ferrer,Kamke,Ferrer,5,98,6505,563,1.06,10.0,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,2,0,0,0,0,0,0
77,3,Monfils,Brands,Brands,77,153,660,367,1.2,4.33,False,True,False,False,True,False,False,False,False,True,False,False,False,1,6,5,7,0,0,0,0,0,0
78,3,Gasquet,Lacko,Gasquet,10,51,2515,827,1.3,3.4,False,True,False,False,True,False,False,False,False,True,False,False,False,6,1,6,3,0,0,0,0,0,0
79,3,Lorenzi,Ferrer,Ferrer,64,5,744,6505,17.0,1.02,False,True,False,False,True,False,False,False,False,True,False,False,False,3,6,0,6,0,0,0,0,0,0
80,3,Davydenko,Bolelli,Davydenko,44,84,885,623,1.16,5.0,False,True,False,False,True,False,False,False,False,True,False,False,False,6,1,6,1,0,0,0,0,0,0
81,3,Brands,Gasquet,Gasquet,153,10,367,2515,4.33,1.2,False,True,False,False,True,False,False,False,False,False,False,True,False,5,7,5,7,0,0,0,0,0,0
82,3,Davydenko,Ferrer,Davydenko,44,5,885,6505,3.5,1.28,False,True,False,False,True,False,False,False,False,False,False,True,False,6,2,6,3,0,0,0,0,0,0
83,3,Davydenko,Gasquet,Gasquet,44,10,885,2515,1.57,2.37,False,True,False,False,True,False,False,False,False,False,False,False,True,6,3,6,7,3,6,0,0,0,0
84,3,Bellucci,Goffin,Bellucci,32,50,1112,843,2.25,1.57,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,6,2,0,0,0,0,0,0
85,3,Klizan,Malisse,Malisse,30,62,1175,746,1.61,2.2,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,6,3,3,6,0,0,0,0
86,3,Rochus,Ramos,Rochus,89,51,577,830,1.66,2.1,False,True,False,False,True,True,False,False,False,False,False,False,False,6,2,5,7,6,2,0,0,0,0
87,3,Janowicz,Baker,Baker,26,59,1299,756,1.53,2.37,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,6,7,4,6,0,0,0,0
88,3,Sijsling,Haase,Sijsling,70,54,706,800,1.44,2.62,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,6,3,7,5,0,0,0,0
89,3,Lorenzi,Lacko,Lacko,57,48,769,872,2.5,1.5,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,3,6,0,0,0,0,0,0
90,3,Giraldo,Soeda,Giraldo,63,73,743,701,2.0,1.72,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,6,0,0,0,0,0,0,0
91,3,Melzer,Jones,Jones,29,373,1177,108,1.2,4.33,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,2,6,0,0,0,0,0,0
92,3,Falla,Zemlja,Falla,53,56,821,770,1.61,2.2,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,3,1,0,0,0,0,0,0
93,3,King-Turner,Levine,Levine,376,104,107,530,6.0,1.12,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,2,6,0,0,0,0,0,0
94,3,Monfils,Becker,Monfils,99,65,555,730,1.5,2.5,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,6,3,6,4,0,0,0,0
95,3,Paire,Lu,Lu,43,60,937,754,2.37,1.53,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,6,2,2,6,0,0,0,0
96,3,Querrey,Rochus,Querrey,22,89,1650,577,1.25,3.75,False,True,False,False,True,False,True,False,False,False,False,False,False,7,5,6,3,0,0,0,0,0,0
97,3,Giraldo,Malisse,Malisse,63,62,743,746,1.61,2.2,False,True,False,False,True,False,True,False,False,False,False,False,False,6,7,4,6,0,0,0,0,0,0
